loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line
6000.0, 36 months,7.91,187.77,A,A5,10+ years,MORTGAGE,50000.0,Not Verified,debt_consolidation,19.42,0.0,785.0,789.0,8.0,0.0,5049.0,24.0,20.0,2.0,0.0,Dec-2015,Mar-1980
7200.0, 36 months,8.49,227.26,B,B1,4 years,RENT,42000.0,Source Verified,major_purchase,13.54,0.0,690.0,694.0,5.0,0.0,1567.0,18.2,16.0,5.0,0.0,Dec-2015,Mar-2005
16000.0, 36 months,9.8,514.78,B,B3,,MORTGAGE,99906.0,Not Verified,credit_card,6.97,0.0,660.0,664.0,10.0,1.0,12632.0,69.8,26.0,4.0,0.0,Dec-2015,Jul-1993
6000.0, 36 months,9.8,193.05,B,B3,3 years,RENT,41500.0,Verified,credit_card,19.81,1.0,675.0,679.0,9.0,0.0,5513.0,22.1,27.0,0.0,0.0,Dec-2015,Nov-2004
12000.0, 60 months,12.88,272.31,C,C2,10+ years,OWN,100000.0,Not Verified,credit_card,12.31,3.0,660.0,664.0,12.0,0.0,11078.0,49.6,20.0,1.0,0.0,Dec-2015,May-2002
24000.0, 36 months,8.49,757.51,B,B1,8 years,MORTGAGE,72000.0,Not Verified,debt_consolidation,22.8,0.0,715.0,719.0,16.0,0.0,20014.0,34.3,52.0,0.0,0.0,Dec-2015,Aug-1997
35000.0, 36 months,15.77,1226.53,D,D1,< 1 year,RENT,84468.0,Source Verified,debt_consolidation,16.85,1.0,665.0,669.0,13.0,0.0,23127.0,55.9,35.0,1.0,0.0,Dec-2015,Nov-1994
15000.0, 36 months,9.17,478.19,B,B2,10+ years,RENT,45000.0,Not Verified,debt_consolidation,16.93,1.0,660.0,664.0,6.0,1.0,9481.0,55.0,22.0,1.0,1.0,Dec-2015,Feb-1994
35000.0, 36 months,16.59,1240.72,D,D2,10+ years,MORTGAGE,105000.0,Verified,credit_card,27.22,0.0,700.0,704.0,15.0,0.0,40781.0,66.3,24.0,3.0,0.0,Dec-2015,Dec-1993
3600.0, 36 months,11.48,118.68,B,B5,3 years,MORTGAGE,55000.0,Source Verified,debt_consolidation,14.1,0.0,720.0,724.0,16.0,1.0,3279.0,58.6,27.0,1.0,1.0,Dec-2015,May-2005
25000.0, 36 months,5.32,752.87,A,A1,10+ years,RENT,99000.0,Not Verified,credit_card,18.47,0.0,745.0,749.0,20.0,0.0,45023.0,43.3,24.0,0.0,0.0,Dec-2015,Oct-1997
5000.0, 36 months,5.32,150.58,A,A1,8 years,MORTGAGE,130000.0,Not Verified,debt_consolidation,10.44,0.0,720.0,724.0,9.0,0.0,16709.0,25.1,27.0,4.0,0.0,Dec-2015,Nov-1998
18000.0, 36 months,11.99,597.78,C,C1,9 years,RENT,41000.0,Not Verified,debt_consolidation,38.35,0.0,690.0,694.0,12.0,0.0,18982.0,61.8,20.0,0.0,0.0,Dec-2015,May-2009
5000.0, 36 months,9.8,160.87,B,B3,6 years,OWN,72000.0,Not Verified,other,6.52,0.0,710.0,714.0,11.0,1.0,4838.0,56.3,20.0,2.0,1.0,Dec-2015,Jan-2002
24000.0, 60 months,23.13,678.37,F,F2,6 years,MORTGAGE,104000.0,Verified,debt_consolidation,24.75,0.0,665.0,669.0,25.0,0.0,31376.0,87.4,33.0,1.0,0.0,Dec-2015,Dec-2002
6000.0, 36 months,10.78,195.81,B,B4,10+ years,MORTGAGE,66000.0,Not Verified,car,19.96,1.0,695.0,699.0,11.0,0.0,3731.0,23.9,28.0,1.0,0.0,Dec-2015,Nov-1987
35000.0, 60 months,14.85,829.9,C,C5,10+ years,OWN,90000.0,Verified,debt_consolidation,19.13,0.0,725.0,729.0,12.0,0.0,17669.0,66.4,24.0,2.0,0.0,Dec-2015,Nov-1990
19800.0, 36 months,11.99,657.55,C,C1,3 years,RENT,45000.0,Not Verified,debt_consolidation,23.47,0.0,695.0,699.0,12.0,0.0,6477.0,26.5,18.0,0.0,0.0,Dec-2015,Apr-2004
6400.0, 36 months,13.44,217.01,C,C3,10+ years,RENT,54000.0,Source Verified,debt_consolidation,27.44,2.0,680.0,684.0,8.0,0.0,1101.0,21.2,21.0,0.0,0.0,Dec-2015,Jun-2001
25000.0, 60 months,11.48,549.57,B,B5,10+ years,MORTGAGE,135000.0,Not Verified,credit_card,4.65,0.0,705.0,709.0,16.0,0.0,7340.0,13.5,33.0,5.0,0.0,Dec-2015,Oct-2004
20000.0, 36 months,7.49,622.04,A,A4,4 years,RENT,105000.0,Not Verified,debt_consolidation,9.71,1.0,700.0,704.0,4.0,0.0,17047.0,65.8,10.0,1.0,0.0,Dec-2015,Feb-2002
24000.0, 36 months,11.48,791.2,B,B5,3 years,OWN,95000.0,Verified,debt_consolidation,26.89,0.0,675.0,679.0,9.0,0.0,18255.0,102.0,12.0,0.0,0.0,Dec-2015,Oct-2008
20000.0, 36 months,12.88,672.73,C,C2,10+ years,RENT,65000.0,Source Verified,debt_consolidation,16.49,0.0,670.0,674.0,8.0,1.0,6711.0,83.9,18.0,2.0,0.0,Dec-2015,Mar-2000
28000.0, 60 months,11.99,622.71,C,C1,1 year,MORTGAGE,82000.0,Not Verified,home_improvement,10.57,0.0,820.0,824.0,15.0,0.0,2112.0,2.0,29.0,2.0,0.0,Dec-2015,Dec-2006
28000.0, 60 months,8.49,574.33,B,B1,5 years,MORTGAGE,95000.0,Source Verified,credit_card,19.6,0.0,710.0,714.0,24.0,0.0,30169.0,31.8,62.0,2.0,0.0,Dec-2015,Dec-2003
20000.0, 60 months,15.77,483.93,D,D1,6 years,RENT,57000.0,Verified,debt_consolidation,21.09,0.0,680.0,684.0,7.0,0.0,19727.0,98.1,20.0,0.0,0.0,Dec-2015,Jun-2001
24000.0, 36 months,9.17,765.1,B,B2,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,10.11,0.0,660.0,664.0,14.0,1.0,11763.0,39.5,25.0,3.0,1.0,Dec-2015,May-1985
31500.0, 60 months,11.99,700.55,C,C1,10+ years,MORTGAGE,120000.0,Source Verified,debt_consolidation,10.55,0.0,755.0,759.0,7.0,0.0,9374.0,25.5,20.0,2.0,0.0,Dec-2015,Jun-1997
4550.0, 36 months,10.78,148.49,B,B4,5 years,MORTGAGE,78000.0,Not Verified,small_business,26.08,0.0,670.0,674.0,16.0,1.0,11665.0,56.1,34.0,1.0,0.0,Dec-2015,Nov-1997
10000.0, 36 months,9.17,318.79,B,B2,4 years,RENT,35000.0,Not Verified,debt_consolidation,10.55,0.0,705.0,709.0,7.0,0.0,7697.0,37.0,12.0,0.0,0.0,Dec-2015,May-1996
8000.0, 36 months,6.99,246.99,A,A3,,MORTGAGE,45000.0,Not Verified,home_improvement,15.15,0.0,790.0,794.0,12.0,0.0,5890.0,23.7,26.0,1.0,0.0,Dec-2015,Sep-2002
20000.0, 36 months,9.17,637.58,B,B2,2 years,RENT,95750.0,Source Verified,debt_consolidation,19.14,1.0,685.0,689.0,11.0,0.0,5248.0,27.9,22.0,0.0,0.0,Dec-2015,Dec-1997
14950.0, 60 months,18.99,387.73,E,E1,10+ years,MORTGAGE,68000.0,Verified,debt_consolidation,31.36,1.0,685.0,689.0,11.0,1.0,5549.0,57.0,40.0,2.0,1.0,Dec-2015,Jul-2005
35000.0, 36 months,12.88,1177.27,C,C2,4 years,RENT,98000.0,Source Verified,debt_consolidation,18.93,0.0,690.0,694.0,11.0,0.0,40023.0,40.4,24.0,1.0,0.0,Dec-2015,Jul-1998
20400.0, 60 months,18.49,523.48,D,D5,2 years,MORTGAGE,75000.0,Source Verified,credit_card,38.65,2.0,725.0,729.0,22.0,0.0,24345.0,42.6,49.0,3.0,0.0,Dec-2015,Sep-1983
21000.0, 36 months,11.99,697.41,C,C1,5 years,MORTGAGE,63000.0,Not Verified,debt_consolidation,28.69,0.0,685.0,689.0,15.0,0.0,20519.0,56.8,24.0,0.0,0.0,Dec-2015,Oct-2001
1800.0, 36 months,7.49,55.99,A,A4,10+ years,MORTGAGE,50000.0,Source Verified,credit_card,8.28,0.0,690.0,694.0,6.0,0.0,12327.0,63.2,12.0,1.0,0.0,Dec-2015,Dec-2001
3000.0, 36 months,6.49,91.94,A,A2,10+ years,MORTGAGE,75000.0,Source Verified,home_improvement,13.38,0.0,685.0,689.0,10.0,1.0,7682.0,74.6,18.0,2.0,1.0,Dec-2015,Mar-1996
8000.0, 36 months,10.78,261.08,B,B4,< 1 year,MORTGAGE,45000.0,Not Verified,debt_consolidation,21.23,0.0,670.0,674.0,28.0,0.0,11141.0,35.5,69.0,2.0,0.0,Dec-2015,Jan-1998
20000.0, 36 months,9.8,643.47,B,B3,5 years,RENT,75000.0,Not Verified,debt_consolidation,23.45,0.0,725.0,729.0,14.0,0.0,7558.0,9.6,26.0,1.0,0.0,Dec-2015,May-1992
12000.0, 60 months,12.88,272.31,C,C2,10+ years,MORTGAGE,90000.0,Not Verified,debt_consolidation,12.62,0.0,660.0,664.0,11.0,1.0,8275.0,30.6,30.0,4.0,1.0,Dec-2015,Apr-2002
35000.0, 36 months,7.91,1095.33,A,A5,4 years,OWN,145000.0,Source Verified,credit_card,13.77,0.0,710.0,714.0,11.0,0.0,26666.0,50.6,19.0,5.0,0.0,Dec-2015,Apr-1990
6600.0, 36 months,19.48,243.54,E,E2,4 years,MORTGAGE,240000.0,Source Verified,debt_consolidation,7.04,2.0,660.0,664.0,10.0,5.0,1604.0,18.0,17.0,1.0,0.0,Dec-2015,Aug-2002
2000.0, 36 months,8.49,63.13,B,B1,8 years,MORTGAGE,140000.0,Source Verified,other,6.78,0.0,845.0,850.0,7.0,0.0,4110.0,6.8,16.0,2.0,0.0,Dec-2015,Nov-1985
12000.0, 36 months,10.78,391.62,B,B4,2 years,MORTGAGE,85000.0,Source Verified,debt_consolidation,24.06,0.0,680.0,684.0,18.0,0.0,13616.0,46.3,40.0,4.0,0.0,Dec-2015,Apr-2000
15600.0, 36 months,8.49,492.39,B,B1,5 years,OWN,38000.0,Not Verified,debt_consolidation,17.59,0.0,710.0,714.0,13.0,0.0,13399.0,29.7,17.0,0.0,0.0,Dec-2015,Oct-1983
21000.0, 36 months,9.17,669.46,B,B2,< 1 year,MORTGAGE,110000.0,Not Verified,debt_consolidation,22.5,1.0,700.0,704.0,14.0,5.0,24093.0,46.1,20.0,0.0,0.0,Dec-2015,Nov-1997
20000.0, 60 months,18.99,518.71,E,E1,1 year,OWN,52000.0,Source Verified,credit_card,26.93,0.0,665.0,669.0,17.0,0.0,14786.0,52.2,43.0,1.0,0.0,Dec-2015,Aug-2002
6000.0, 36 months,16.59,212.7,D,D2,2 years,RENT,40000.0,Not Verified,debt_consolidation,10.8,0.0,660.0,664.0,6.0,0.0,3510.0,46.8,10.0,0.0,0.0,Dec-2015,Feb-2009
24000.0, 60 months,10.78,519.19,B,B4,2 years,MORTGAGE,110000.0,Verified,debt_consolidation,20.82,0.0,735.0,739.0,15.0,0.0,26534.0,34.6,35.0,4.0,0.0,Dec-2015,Jun-1983
24000.0, 36 months,7.91,751.08,A,A5,9 years,MORTGAGE,100000.0,Not Verified,debt_consolidation,26.83,1.0,675.0,679.0,21.0,0.0,35994.0,56.4,39.0,1.0,0.0,Dec-2015,May-1993
12700.0, 36 months,17.97,458.95,D,D4,3 years,RENT,32760.0,Not Verified,debt_consolidation,34.32,0.0,675.0,679.0,21.0,0.0,11472.0,38.1,30.0,0.0,0.0,Dec-2015,Sep-2004
20000.0, 36 months,14.85,691.84,C,C5,10+ years,OWN,120000.0,Not Verified,other,33.29,0.0,685.0,689.0,11.0,0.0,50651.0,91.9,19.0,6.0,0.0,Dec-2015,Sep-1988
16000.0, 36 months,10.78,522.16,B,B4,3 years,RENT,87500.0,Not Verified,debt_consolidation,13.74,0.0,695.0,699.0,13.0,0.0,21151.0,83.9,17.0,0.0,0.0,Dec-2015,Jan-2008
15000.0, 36 months,10.78,489.52,B,B4,3 years,OWN,85000.0,Source Verified,credit_card,10.14,0.0,685.0,689.0,16.0,0.0,8768.0,44.7,21.0,0.0,0.0,Dec-2015,Sep-2009
25000.0, 36 months,11.48,824.17,B,B5,10+ years,RENT,185000.0,Not Verified,debt_consolidation,14.03,0.0,705.0,709.0,10.0,0.0,26265.0,46.8,24.0,0.0,0.0,Dec-2015,Sep-2002
12000.0, 36 months,9.8,386.09,B,B3,< 1 year,MORTGAGE,100000.0,Source Verified,debt_consolidation,12.07,0.0,665.0,669.0,10.0,0.0,24801.0,65.4,44.0,0.0,0.0,Dec-2015,Sep-2000
3200.0, 36 months,10.78,104.44,B,B4,10+ years,MORTGAGE,49000.0,Not Verified,debt_consolidation,25.91,0.0,665.0,669.0,10.0,3.0,5958.0,79.4,21.0,3.0,0.0,Dec-2015,Apr-2000
5000.0, 36 months,14.85,172.96,C,C5,2 years,RENT,67000.0,Source Verified,credit_card,31.08,0.0,670.0,674.0,18.0,0.0,16036.0,57.6,38.0,0.0,0.0,Dec-2015,Oct-1999
5000.0, 36 months,13.44,169.54,C,C3,2 years,RENT,79000.0,Verified,credit_card,12.7,0.0,665.0,669.0,3.0,0.0,9441.0,101.5,5.0,0.0,0.0,Dec-2015,Oct-2011
13000.0, 60 months,13.99,302.42,C,C4,10+ years,RENT,115000.0,Not Verified,home_improvement,9.9,0.0,700.0,704.0,9.0,0.0,16440.0,45.2,21.0,2.0,0.0,Dec-2015,Aug-2001
17125.0, 60 months,27.99,533.1,G,G3,4 years,RENT,45000.0,Source Verified,debt_consolidation,17.44,0.0,660.0,664.0,30.0,1.0,14276.0,40.6,42.0,0.0,1.0,Dec-2015,Apr-2008
20000.0, 36 months,17.27,715.75,D,D3,10+ years,MORTGAGE,50000.0,Not Verified,other,33.75,0.0,705.0,709.0,11.0,0.0,4354.0,58.1,26.0,4.0,0.0,Dec-2015,Mar-2003
24575.0, 60 months,22.45,685.04,F,F1,10+ years,MORTGAGE,92000.0,Verified,debt_consolidation,24.16,0.0,725.0,729.0,8.0,0.0,25225.0,79.3,27.0,3.0,0.0,Dec-2015,Nov-1996
10000.0, 36 months,12.88,336.37,C,C2,< 1 year,MORTGAGE,113000.0,Source Verified,credit_card,21.59,0.0,690.0,694.0,12.0,0.0,20061.0,76.0,27.0,3.0,0.0,Dec-2015,Aug-1985
12425.0, 60 months,18.99,322.25,E,E1,,RENT,24897.72,Not Verified,debt_consolidation,6.62,0.0,720.0,724.0,15.0,0.0,11239.0,18.7,31.0,4.0,0.0,Dec-2015,Oct-1994
18000.0, 36 months,6.99,555.71,A,A3,8 years,MORTGAGE,89000.0,Source Verified,credit_card,13.88,1.0,680.0,684.0,8.0,0.0,20555.0,70.2,21.0,4.0,0.0,Dec-2015,Jan-1988
11200.0, 36 months,8.49,353.51,B,B1,10+ years,MORTGAGE,70000.0,Not Verified,debt_consolidation,15.88,1.0,685.0,689.0,9.0,0.0,21478.0,40.8,28.0,3.0,0.0,Dec-2015,Dec-1996
5000.0, 36 months,7.91,156.48,A,A5,7 years,OWN,38000.0,Source Verified,credit_card,11.78,0.0,695.0,699.0,8.0,0.0,5348.0,47.3,14.0,0.0,0.0,Dec-2015,Sep-1993
35000.0, 36 months,13.99,1196.05,C,C4,10+ years,RENT,100000.0,Source Verified,debt_consolidation,19.43,6.0,665.0,669.0,12.0,0.0,31610.0,80.6,22.0,5.0,0.0,Dec-2015,Jan-1986
5500.0, 36 months,11.99,182.66,C,C1,3 years,RENT,37000.0,Source Verified,debt_consolidation,21.15,0.0,720.0,724.0,7.0,0.0,5914.0,81.0,21.0,0.0,0.0,Dec-2015,Oct-2002
15000.0, 60 months,17.97,380.66,D,D4,2 years,RENT,45500.0,Verified,debt_consolidation,30.95,0.0,700.0,704.0,13.0,0.0,13021.0,37.0,50.0,0.0,0.0,Dec-2015,Jul-1998
20000.0, 36 months,12.88,672.73,C,C2,,OWN,65000.0,Not Verified,debt_consolidation,17.38,2.0,730.0,734.0,15.0,0.0,20914.0,9.8,21.0,0.0,0.0,Dec-2015,Apr-1991
7200.0, 36 months,7.91,225.33,A,A5,< 1 year,RENT,42500.0,Source Verified,credit_card,11.07,5.0,670.0,674.0,10.0,0.0,8187.0,47.1,18.0,0.0,0.0,Dec-2015,Mar-2001
2500.0, 36 months,17.27,89.47,D,D3,10+ years,MORTGAGE,50000.0,Verified,other,17.6,3.0,670.0,674.0,7.0,0.0,732.0,31.1,22.0,0.0,0.0,Dec-2015,Jan-2001
16000.0, 36 months,14.85,553.48,C,C5,2 years,RENT,43000.0,Source Verified,credit_card,17.11,0.0,675.0,679.0,13.0,0.0,10130.0,51.2,16.0,0.0,0.0,Dec-2015,Sep-2010
8400.0, 36 months,9.8,270.26,B,B3,10+ years,RENT,72701.0,Verified,credit_card,20.42,1.0,670.0,674.0,17.0,0.0,6998.0,33.9,48.0,1.0,0.0,Dec-2015,Feb-1995
10000.0, 36 months,12.88,336.37,C,C2,4 years,MORTGAGE,91392.0,Not Verified,house,9.44,0.0,710.0,714.0,13.0,0.0,6959.0,41.7,33.0,3.0,0.0,Dec-2015,Sep-2006
17000.0, 36 months,5.32,511.96,A,A1,5 years,MORTGAGE,98000.0,Source Verified,credit_card,9.21,0.0,755.0,759.0,9.0,0.0,18067.0,29.8,24.0,4.0,0.0,Dec-2015,Mar-2001
3500.0, 36 months,9.8,112.61,B,B3,1 year,MORTGAGE,45000.0,Source Verified,car,22.29,1.0,725.0,729.0,30.0,0.0,3236.0,26.1,66.0,2.0,0.0,Dec-2015,Nov-1993
24000.0, 36 months,7.49,746.44,A,A4,10+ years,RENT,107000.0,Source Verified,car,15.15,0.0,765.0,769.0,13.0,0.0,23594.0,34.8,22.0,0.0,0.0,Dec-2015,Jul-1984
20000.0, 36 months,17.97,722.75,D,D4,7 years,MORTGAGE,180000.0,Not Verified,debt_consolidation,25.1,0.0,660.0,664.0,13.0,0.0,59126.0,92.1,30.0,2.0,0.0,Dec-2015,Apr-1989
4000.0, 36 months,9.17,127.52,B,B2,2 years,RENT,44500.0,Verified,debt_consolidation,15.83,0.0,670.0,674.0,4.0,1.0,502.0,4.2,24.0,3.0,1.0,Dec-2015,Sep-2003
8000.0, 36 months,13.99,273.39,C,C4,,MORTGAGE,50000.0,Not Verified,debt_consolidation,19.85,0.0,680.0,684.0,8.0,0.0,29588.0,83.3,18.0,3.0,0.0,Dec-2015,May-1986
15000.0, 36 months,10.78,489.52,B,B4,10+ years,MORTGAGE,160000.0,Not Verified,debt_consolidation,24.79,0.0,670.0,674.0,13.0,0.0,38681.0,78.8,30.0,5.0,0.0,Dec-2015,Aug-1998
15000.0, 36 months,12.88,504.55,C,C2,10+ years,MORTGAGE,118000.0,Verified,credit_card,23.7,0.0,705.0,709.0,7.0,1.0,18893.0,44.2,19.0,1.0,1.0,Dec-2015,May-1996
15000.0, 36 months,10.78,489.52,B,B4,1 year,RENT,40000.0,Verified,credit_card,10.17,0.0,670.0,674.0,7.0,0.0,12272.0,75.3,9.0,0.0,0.0,Dec-2015,Oct-2006
2000.0, 36 months,11.99,66.42,C,C1,4 years,RENT,35000.0,Source Verified,debt_consolidation,4.01,0.0,660.0,664.0,7.0,1.0,1024.0,17.1,16.0,0.0,0.0,Dec-2015,Mar-2006
11000.0, 60 months,13.99,255.9,C,C4,5 years,MORTGAGE,52000.0,Not Verified,debt_consolidation,5.7,0.0,660.0,664.0,8.0,0.0,8800.0,56.8,8.0,0.0,0.0,Dec-2015,May-2011
20000.0, 60 months,12.88,453.84,C,C2,< 1 year,MORTGAGE,110000.0,Verified,debt_consolidation,23.89,0.0,670.0,674.0,18.0,0.0,28645.0,57.0,33.0,5.0,0.0,Dec-2015,Feb-1987
18000.0, 36 months,6.49,551.61,A,A2,10+ years,MORTGAGE,76000.0,Verified,debt_consolidation,14.4,1.0,755.0,759.0,20.0,0.0,19182.0,26.9,41.0,4.0,0.0,Dec-2015,Nov-1994
4225.0, 36 months,14.85,146.16,C,C5,5 years,RENT,35000.0,Source Verified,debt_consolidation,15.22,2.0,725.0,729.0,6.0,0.0,1058.0,24.6,6.0,0.0,0.0,Dec-2015,Jul-2011
14400.0, 36 months,8.49,454.51,B,B1,< 1 year,RENT,47000.0,Not Verified,debt_consolidation,27.96,0.0,715.0,719.0,13.0,0.0,16702.0,55.3,24.0,0.0,0.0,Dec-2015,Sep-2003
8000.0, 36 months,14.85,276.74,C,C5,2 years,RENT,53040.0,Verified,credit_card,20.54,0.0,660.0,664.0,12.0,1.0,8195.0,63.0,35.0,0.0,1.0,Dec-2015,Jul-2001
10500.0, 36 months,13.99,358.82,C,C4,10+ years,MORTGAGE,110000.0,Not Verified,debt_consolidation,30.73,1.0,660.0,664.0,19.0,0.0,28822.0,81.2,38.0,4.0,0.0,Dec-2015,Jul-1998
2800.0, 36 months,17.27,100.21,D,D3,7 years,RENT,114400.0,Verified,debt_consolidation,6.34,0.0,695.0,699.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,Dec-2015,Sep-2006
4325.0, 36 months,11.99,143.64,C,C1,10+ years,OWN,90000.0,Not Verified,major_purchase,16.96,1.0,730.0,734.0,17.0,1.0,15676.0,37.8,23.0,3.0,1.0,Dec-2015,Aug-1997
15000.0, 36 months,17.27,536.81,D,D3,7 years,RENT,101000.0,Verified,debt_consolidation,39.87,0.0,660.0,664.0,16.0,1.0,23901.0,71.3,36.0,2.0,1.0,Dec-2015,Jan-1989
16000.0, 60 months,13.44,367.67,C,C3,1 year,RENT,42000.0,Not Verified,credit_card,9.6,0.0,670.0,674.0,29.0,0.0,11834.0,44.8,48.0,0.0,0.0,Dec-2015,Apr-2002
11000.0, 36 months,9.17,350.67,B,B2,10+ years,MORTGAGE,69000.0,Not Verified,credit_card,21.34,0.0,680.0,684.0,9.0,0.0,8137.0,84.8,18.0,2.0,0.0,Dec-2015,Sep-2004
5000.0, 36 months,5.32,150.58,A,A1,10+ years,MORTGAGE,60000.0,Not Verified,debt_consolidation,19.22,0.0,730.0,734.0,7.0,0.0,5832.0,16.9,19.0,2.0,0.0,Dec-2015,Nov-2001
20000.0, 36 months,6.99,617.46,A,A3,10+ years,MORTGAGE,120000.0,Not Verified,credit_card,16.8,0.0,685.0,689.0,11.0,0.0,35896.0,61.1,40.0,10.0,0.0,Dec-2015,Aug-1987
35000.0, 36 months,11.99,1162.34,C,C1,10+ years,RENT,130000.0,Source Verified,debt_consolidation,19.75,0.0,710.0,714.0,15.0,0.0,41206.0,62.5,20.0,0.0,0.0,Dec-2015,May-1997
30000.0, 36 months,14.85,1037.76,C,C5,10+ years,MORTGAGE,112000.0,Source Verified,debt_consolidation,19.07,2.0,670.0,674.0,23.0,0.0,26552.0,47.6,43.0,1.0,0.0,Dec-2015,Jan-2001
15000.0, 60 months,19.89,396.5,E,E3,9 years,RENT,50000.0,Verified,debt_consolidation,21.87,0.0,690.0,694.0,23.0,0.0,6431.0,26.8,31.0,0.0,0.0,Dec-2015,Jun-2009
24000.0, 60 months,18.99,622.45,E,E1,4 years,RENT,230000.0,Source Verified,debt_consolidation,14.44,0.0,675.0,679.0,13.0,2.0,14966.0,39.7,65.0,5.0,1.0,Dec-2015,Aug-2003
21875.0, 36 months,11.99,726.46,C,C1,< 1 year,RENT,47590.0,Source Verified,credit_card,17.76,0.0,700.0,704.0,9.0,0.0,24882.0,57.1,14.0,0.0,0.0,Dec-2015,Apr-2001
20000.0, 60 months,11.99,444.79,C,C1,4 years,MORTGAGE,155000.0,Source Verified,house,22.47,1.0,710.0,714.0,17.0,0.0,12740.0,34.8,25.0,3.0,0.0,Dec-2015,Nov-1994
11200.0, 36 months,5.32,337.29,A,A1,2 years,MORTGAGE,82500.0,Not Verified,credit_card,14.79,0.0,825.0,829.0,8.0,0.0,2721.0,6.0,25.0,4.0,0.0,Dec-2015,Feb-1984
21150.0, 36 months,15.77,741.18,D,D1,5 years,MORTGAGE,52000.0,Source Verified,debt_consolidation,26.17,0.0,685.0,689.0,10.0,1.0,16582.0,63.5,32.0,3.0,0.0,Dec-2015,Apr-1998
6000.0, 36 months,5.32,180.69,A,A1,5 years,MORTGAGE,72000.0,Source Verified,debt_consolidation,17.08,1.0,690.0,694.0,11.0,0.0,23785.0,87.8,22.0,5.0,0.0,Dec-2015,Apr-1985
20000.0, 36 months,7.49,622.04,A,A4,10+ years,MORTGAGE,106000.0,Not Verified,debt_consolidation,27.2,0.0,705.0,709.0,17.0,0.0,27910.0,54.6,32.0,4.0,0.0,Dec-2015,Jan-2001
7200.0, 36 months,11.48,237.36,B,B5,10+ years,MORTGAGE,72500.0,Verified,home_improvement,8.47,0.0,725.0,729.0,5.0,0.0,5449.0,35.2,7.0,2.0,0.0,Dec-2015,Aug-2004
